"Categories"	"Excerpt"	"Long"	"Set"
"45"	"00000100000000001000000000000000000000000"	"Cash allowed the beneficiaries to meet different basic needs including paying the debts contracted and respecting COVID-19 containment measures."	1	"test"
"46"	"00000000010000000000000000000000000000000"	"Cash disbursement activities were delayed owing to the unexpectedly high snowfall and rains in the targeted areas. The plan of action was revisited and the implementation was accelerated once the activities were resumed. The project extension also allowed for some time to complete administrative tasks."	1	"test"
"47"	"00000000000001000000000000000000000000000"	"CEA needs to be enhanced. PRCS has been trained before in CEA. However, support is required to ensure more staff and volunteers are familiar with this approach and feel confident to use it in the field."	1	"test"
"48"	"00000100000000000000000000000000000000000"	"Challenges in cross-regional delivery of goods due to COVID restrictions"	1	"test"
"49"	"00001000000000000000000000000000000000000"	"Challenges Including these issues in project activities and communicate them to community members without them feeling that they are being accused of something."	1	"test"
"50"	"00000000010000000000000000000000000000000"	"Challenges with the railway network is a recurring one. There is a need to consider other transportation options wherever possible and not wait till the services are resumed."	1	"test"
"51"	"00000000000000000100000000000000000000000"	"Changing the initially planned shelter activities into distribution activities for cash and/or construction materials did not take place. Indeed, the planned shelter assistance was cancelled because beneficiaries had already found temporary solutions such as to be hosted by close relatives or friends."	1	"test"
"52"	"00001000000000000000000000000000000000000"	"Cleaning campaigns and practices in schools and communities promoted changes in behaviour in the most vulnerable settings."	1	"test"
"53"	"00000000000000000000000000000000000010000"	"Cleaning kit packaging and transportation posed some challenges due to the volume of the items and the difficulty of packing entire kits in a single box. TRC chose to transport items in bulk, which were later sorted by volunteers in each locality and distributed to families."	1	"test"
"54"	"00000000000000000000000000000100000000000"	"Close follow up of security on all update meeting and participation"	1	"test"
"55"	"00000000000000000000000010001000000000000"	"Collaboration with both government and private sector in addressing community needs paves way for meaningful engagement and support to address urgent needs at hand by other key actors."	1	"test"
"56"	"00000000000000000000000010000000000000000"	"Collaboration with health actors can contribute to improved visibility of activities and a better support from them."	1	"test"
"57"	"00000000000000000000000001000000000000000"	"Collaboration with other stakeholders support to operation activities and for effective planning."	1	"test"
"58"	"00001000000000001000000000000000000000000"	"Communicating on the end of certain activities such as cash transfer is necessary so that community members do not wait for assistance • The exhaustive and specific criteria for the selection of beneficiaries of Cash Transfer allows targeting the most vulnerable victims and mitigating complaints • The provision of the beneficiaries with a brochure / manual for the use of SIM cards is necessary to assist selected beneficiaries with activation of SIM cards."	1	"test"
"59"	"00000000000000000000000010000000000000000"	"Communication issues between authorities and responding agencies led to delays in shelter emergency response."	1	"test"
"60"	"00000000000001000100000000000000000000000"	"Communities could not harvest rainwater due to dry season which was affecting the area."	1	"test"
"61"	"00000000000001000000000000000000000000000"	"Communities on the island of Ambae were being trained in DRR thus having a better coordination with the Red Cross branch and the provincial government."	1	"test"
"62"	"00000000000000000000000000000010000000000"	"Community based surveillance allowed for the continuous, rapid and accurate monitoring of how of communicable diseases behave in communities. It allowed for the activation of the intervention protocol, using installed capacities in Branches, communities and schools."	1	"test"
"63"	"00000000000010000000000000000000000000000"	"Community Response Plan and family disaster plan in place making it easier to evacuate people to respectful safe House that was identifies"	1	"test"
"64"	"00001000000000000000000000000000000000000"	"Complaints were collected orally at the complaints mechanisms committees"	1	"test"
"65"	"00000000000000000000000000000000000000100"	"Conceive PSS tools for volunteers."	1	"test"
"66"	"00000000000000000100000000000000000000100"	"Conduct a one-day volunteers’ training session at both NHQ and PHQ on rapid need assessment and data collection processes, with equal participation from NHQ, PHQ and district staff and volunteers"	1	"test"
"67"	"00001000000000000001000000000000000000000"	"Consider the importance of counting on the local Board staff’s participation in the event of activation of the EOC, in order to socialize, for example, the community selection technical processes used in response based on the ERC's humanitarian mandate."	1	"test"
"68"	"00000000000000010000000000000000000000000"	"Consider the introduction of Forecast Based Financing for PRCS."	1	"test"
"69"	"00000010000000000000000000000000000000000"	"Consistency in the utilization of KRCS MEAL tools and SOPs such as 24 hours and 72 hours assessment tools, situation reporting templates, emergency assessment and response analysis guidelines ensured standardization of practice thereby ensuring accurate information was collected and analysed right from the beginning."	1	"test"
"70"	"00000000000000000000000000000000000000100"	"Continuation of capacity building of the GRCS staff and volunteers in providing qualitative services, including FA and PFA."	1	"test"
"71"	"00000000000000001000000000000000000000000"	"Contract FSPs for long periods of time to save time on FSP procurement process."	1	"test"
"72"	"00000000000000000000001000000000000000000"	"Contribution from RDRT members is highly appreciated by the volunteers, staffs of district branch office and BDRCS will use this surge tool in future emergency operations based on need."	1	"test"
"73"	"00000000000000000000000100000000000000000"	"Coordination mechanisms with the IFRC and the National Society facilitate the authorizations, dispatch and delivery of required supplies"	1	"test"
"74"	"00000000000000000000000010000000000000000"	"Coordination with government relevant ministries needs to be improved. For example, the beneficiary list was not shared between the government and CRCI and hence there was a duplication of beneficiaries."	1	"test"
"75"	"00000100000000000000000000000000000000000"	"Covid-19 prevention policy and restriction also hampered some of the activities especially activities that requiring mass-gathering such as distribution (logistics and cash), promotion activities and workshops. To adapt to the strict policy, changes and modifications were made to continue the implementation."	1	"test"
"76"	"00010000000000000000000000000000000000000"	"Customs authorities insisted on documentation for which only the IRCS Secretary General is the authorised signatory. Despite several attempts to convince the customs authorities that the Secretary General position is vacant and all that currently official duties are being discharged by the Joint Secretary in-charge, the customs authority insisted on several documents and caused the delay in release of containers consisting of tarpaulins and mosquito nets, part of which were meant for distribution in Uttar Pradesh"	1	"test"
"77"	"00000000000000000000000000000000000000010"	"Daily planning needs to be shared to allow for communications staff to be present or to gather information as required"	1	"test"
"78"	"00000000000000000000100000000000000000000"	"Data consistency was found to be a challenge especially during the emergency response phase."	1	"test"
"79"	"00000000000000000010000000000000000000000"	"Decrease the number of children from five to three in the criteria families with multiple children, modify beneficiary selection criteria based on reported damaged and needs assessment, percentage of livestock mortality as one of the criteria and Change the criteria senior (+60) with no guardian to “senior (+60) who herds livestock themselves"	1	"test"
"80"	"00000000000000000000000000000000000000100"	"Dedicated funds to support less-prepared branches would be very beneficial."	1	"test"
"81"	"00000000000000000000100000000000000000000"	"Deficiency on preparatory meetings between the HQ and branches"	1	"test"
"82"	"00000000000000000000100000000000000000000"	"Define a space in the cloud where tools can be accessed, e.g. a folder in Drive."	1	"test"
"83"	"00000000000000000000000000000000000100000"	"Delay in providing aqua tabs due no supply of aqua tabs in-country and hence required to get aqua tabs procured outside of the country."	1	"test"
"84"	"00000000000000001000000000000000000100000"	"Delay in the validation procedure and signature of the framework contract with the Financial Service Provider for cash activities."	1	"test"
"85"	"00000000000000000000000000000000000100000"	"Delay occurred with the procedures for purchasing materials and equipment for volunteers and local committees. o"	1	"test"
"86"	"00000000000000000000000000000000000100000"	"Delays in delivery due to lengthy procurement process of WASH items."	1	"test"
"87"	"00000000000000100000000000000000000000000"	"Deployment of experienced staff and volunteers neighbouring provinces also allowed for the cash-based activities of this DREF to be implemented more efficiently, while also transferring skills and knowledge to West Sulawesi PMI"	1	"test"
"88"	"00000000000000000100000000000000000000000"	"Despite efficient development of emergency plan of action, there were some delays in operational implementation due to social circumstances like the lunar new year celebration in Asia Pacific region. The banks were closed for four working days, which delayed the international funds transfer."	1	"test"
"89"	"00000000000000000000000010000000000000000"	"Despite not being able to conduct a lessons learned workshop following the operation, lessons learned came out of this response. SRCS acknowledges the need for a closer coordination with local authorities, and closer coordination on a national and regional level with other stakeholders. Moreover, SRCS will continue the engagement with humanitarian actors in future operations."	1	"test"
"90"	"00000000000000000000000010000000000000000"	"Develop mechanisms to facilitate a better collaboration with civil protection and technical services in the regions and at national level"	1	"test"
"91"	"00000000000000000000000000000010000000000"	"Develop standardized volunteer training module for measles (preferable for overall immunization). Evaluate and develop from present trainings (that are based on CBHFA communication tools and the measles pamphlet)."	1	"test"
"92"	"00000000000000000000100000000000000000000"	"Difficulty accessing information: Accessing pertinent information such as epidemiological updates, especially from the Ministry of Health, proved to be difficult at times."	1	"test"
"93"	"00000000000000000000000000000000000010000"	"Difficulty to transport NFIs and shelter kits for Gatumba victim’s assistance. The NS had to use the costs of renting a jeep to rent a truck. (SFI)"	1	"test"
"94"	"00001000000000000000000000000000000000000"	"Disaggregated data was not collected as the distribution was made during the first days following the floods and therefore, the volunteers didn’t collect the disaggregated data of beneficiaries."	1	"test"
"95"	"00000000010000000000000000000000000000000"	"Distance, Time and Cost of accessing the affected areas."	1	"test"
"96"	"00000000000000000000000000000010000000000"	"DM coordinator and IFRC representatives from the country office in Moscow monitored the DREF operation implementation to assist the affected people in the Volgograd region."	1	"test"
"97"	"00000000000000000000001000000000000000000"	"DREF transfer of funds took long to be released and therefore delayed the beginning of activities implementation"	1	"test"
"98"	"00000000000000000000001000000000000000000"	"Due to delays in starting of the operation, as explained on page 3 (funding issues between the IFRC and MRC), this activity (in-depth assessment of the food and nutritional status) was not carried out."	1	"test"
"99"	"00000000000001000000000000000000000000000"	"Due to some budget constraints, it has not been possible to implement the post-training activities such as: radio and television broadcasting spots on Ebola with communicators in all intervention areas as well as mobile sketches etc...."	1	"test"
"100"	"00000000000001000000000000000000000000000"	"Due to the constantly changing situation in the centres, it was crucial to maintain continuous presence of the RCM staff and volunteers in the centre to conduct assessments whose results would enable them to adapt the response accordingly."	1	"test"
"101"	"00000000000000000000000000000010000000000"	"Due to the lack of resources and staff (PGI), it was a big challenge for TRC to maintain the monitoring throughout the emergency phase."	1	"test"
"102"	"00000000000000000000000000000000000000100"	"Due to the nature of recruitment during an emergency, there was insufficient time allocated for the first aid training where practical sessions on the usage of localized approach and utilized available resources were less focused."	1	"test"
"103"	"00000000000001000000000000000000000000100"	"Due to the nature of the disasters it was imperative to continuously rotate staff and volunteers so that they are not burned out. A lean staff can affect such rotation. There has to be more volunteers training or Nationally Society Development with specific aim for Emergency Operations."	1	"test"
"104"	"00000000000000000010000000000000000000000"	"During DREF operation, 80% of people were hosted by relatives and neighbors. This caused an increase in the needs of the household compared to the support provided"	1	"test"
"105"	"00001000000000000000000000000000000000000"	"During emergency situations, the most affected categories of population are children, people with disabilities (PWDs) and expectant women. Such categories of people should be given immediate attention as their high degree of vulnerability dictates."	1	"test"
"106"	"00000000000000000000000010000000000000000"	"During the operation, the operational environment changed, as municipalities found new ways to channel resources to cover the shelter needs of the affected population. Number of households to be assisted became uncertain and had to be reduced, which had an impact on the overall operation"	1	"test"
"107"	"00000000000000000000000000000000000000100"	"During the operation, volunteer turnover was another challenge having a significant impact on response activities in the field. To mitigate this, NRCS headquarters deployed trained Human Resource to support the affected branches."	1	"test"
"108"	"00000000000100000000000001000000010000000"	"During the response it became apparent that there are some activists and organisations willing to provide first aid under the banner of Red Cross. Following the analysis of the situation it was agreed that it is vitally important to ensure the Red Cross leaves no vacuum and has resources in place to be present and provide First Aid during any situation of mass gatherings and unrests."	1	"test"
"109"	"00000000010000000000000000000000000000000"	"During the targeting, three villages initially planned in the department of Maghta-Lahjar were not finally targeted because of their remoteness and the related constraints in accessing them."	1	"test"
"110"	"00000000000000000100000000000000000000000"	"Early planning enhanced the implementation of the operation"	1	"test"
"111"	"00000000000000000000001000000000000000000"	"Efforts should be made to deploy surge delegate in earlier time frame who can help local teams in a well-coordinated and organized response."	1	"test"
"112"	"00000000000001000000000000000000000000000"	"Emergency shelter construction using local knowledge is inadequate"	1	"test"
"113"	"00000100000000000000000000000000000000000"	"Engaging local volunteers in households where is potential risk of COVID-19 infection and higher risk activities such are water pumping and disinfection."	1	"test"
"114"	"00000000000000000001000000010000000000000"	"Enhance internal coordination and communication at all tiers of programme planning and implementation. Engage all relevant branches before, after and during the planning process for smooth distribution at field level."	1	"test"
"115"	"00000000000000000000000100000000000000000"	"Enhanced informative approach between departments and personnel will be adopted by IRCS with the support of the IFRC CO."	1	"test"
"116"	"00000000000000100000000000000000000000000"	"Ensure communication equipment is available to support regular coordination/communication."	1	"test"
"117"	"00000000000000000000000011010000000000000"	"Ensure proper coordination with all relevant bodies so as to avoid duplication. Red Cross support was appreciated with   regards to assessments, and without proper coordination, there could have been duplication of actions thus wastage of   resources."	1	"test"
"118"	"00000000000001000000000000000000000000000"	"Ensure there are sufficient spare parts available – this is to ensure continuous operation of the machines while being deployed."	1	"test"
"119"	"00000000000000000000000000000000000000100"	"Ensuring follow-up and emotional stability for volunteers through ongoing venting processes that should be  carried out, if possible, every day or week with staff active in the field."	1	"test"
"120"	"00000000000000001000000000000000000000000"	"ERCS needs to have alternative service providers and diversified mechanism since the current disbursement through account is not suitable for some people especially the elderly and ill, who cannot physically process the account. In addition, having only one financial service provider could be detrimental in the event of multiple operations. As such, it is advisable for ERCS to source for a second financial service provider."	1	"test"
"121"	"00000000010000000000000000000000000000000"	"Eruption of La Soufriere: The volcano began erupting (effusively) in late December. This had the immediate effect of increasing the workload of the NS, as we had to prepare for the eventuality of an explosive eruption."	1	"test"
"122"	"00000000000000000000000001000000000000000"	"Establish linkages with other organizations to implement activities better. A list of organizations that can support specific situations beyond the National Society's capacity could be used."	1	"test"
"123"	"00000000000000000100000000000000000000000"	"Even retrieving information for rapid assessment was difficult as communications were cut-off in many places, including cell-phone access. In some cases, affected communities were only reached after 15 days when receding waters finally permitted responded to access the area."	1	"test"
"124"	"00000100000000000000000000000000000000000"	"Even though mass-gathering activities were implemented in several simultaneous but separate sessions, it was hard to control the mass-movement from one session to other session especially for children. In addition, public awareness to wear face mask to lessen Covid-19 transmission are relatively low in the area. PMI continued to distribute face masks every time they saw community members without masks attending the session. However, volunteers had to keep reminding individuals to wear the mask properly when interacting with others."	1	"test"
"125"	"00000000000001000000000000000000000000000"	"Every year, the local chapters needs to regularly maintain and operate water purifiers to improve efficiency in operating water purifiers. To ensure operation of the water purifiers, it is necessary to conduct the following:"	1	"test"
"126"	"00000000000000000000000010000000000000000"	"Failure to present the DREF operation to the local authorities at the initial stage affected this stage of the operation as they needed to be convinced about their collaboration being authorities closer to the communities"	1	"test"
"127"	"00000000000000000100000000000000000000000"	"Families whose homes were damaged or destroyed by the storms were forced to live with families that had habitable houses; this was a challenge for volunteers to sort out during the field work."	1	"test"
"128"	"00001000000000000000000000000000000000000"	"Family visits; towards the latter part of the programme there were households that explicitly rejected any visits  from the volunteers. Some households were only interested about the cash grants provided."	1	"test"
"129"	"00000000000001000000000000000000000000000"	"Few communities have deaths and other commitments so the implementation of the ECV Action Plan is not yet complete. Few communities need some pushing from the volunteers to carry out VRCS activities specifically cleanup campaigns. However, there has been a great progress even though the entire community did not turn for awareness. VRCS volunteer have worked tirelessly within their communities to ensure everyone receives key ECV and WASH key messages to better prevent themselves from any epidemics."	1	"test"
"130"	"00000000000000000000000000000001000000000"	"Finance was limited at EOC for distribution."	1	"test"
"131"	"00000000000001000000000000000000000000000"	"First-aid services were provided based on reports and tracings within the affected communities while serious cases not treated were referred to the medical facilities for proper treatment and attention. However, it was noticed that FA being a core activity was not recorded and documented."	1	"test"
"132"	"00000000000000000000000000000000000001000"	"Following the floods, it was realized that the transportation of water purification units from a warehouse far away from the affected areas was not ideal. These units need to be prepositioned at nearest warehouses. In the case of Assam and Manipur, the units could be prepositioned at Noonmati warehouse in Assam."	1	"test"
"133"	"00000100000000000100000000000000000000000"	"Following the pandemic, there were increased repeating needs, especially in footwear and underwear. Those needs were covered by the CRCS."	1	"test"
"134"	"00000100000000000100000000000000000000000"	"Following the pandemic, there were increased repeating needs, especially in soap. Those needs were covered by the CRCS."	1	"test"
"135"	"00000000000001000000000000000000000000000"	"Form the beginning of the action, local RC branch - with IFRC`s support – involved an external PSS expertconsultant with proper knowledge of mental health and PSS intervention. In addition to this, number of local social workers and teachers with psychological educational background were involved in the operation. A series of PSS induction workshops were organised and systematic supervision was provided to ensure effectiveness of the action."	1	"test"
"136"	"00000000000001000000000000000000000000000"	"From the first days after the tragic event, the victims faced a lot of legal problems: recognition of the dead as victims, the need to include them in the lists for receiving compensation from the state, participation in criminal courts for those responsible for the fire, etc.In this very sensitive and tense situation, people needed accompaniment by PSS workers, who provided them with advice. Kemerovo branch of the Russian RC established direct communication and coordination with local authorities to provide complex support to affected people, using a comprehensive approach that included PSS intervention, legal and social support."	1	"test"
"137"	"00000000000000000100000000000000000000000"	"Full shelter needs were not met for houses with damaged roofs. There were roofs for latrines, but not houses. (Shelter)"	1	"test"
"138"	"00000000000000000000000000000000000010001"	"Funding to maintain and purchase of vehicle spare part and ensure that transportation is not affected in the duration of the response."	1	"test"
"139"	"00000100000000000000000000000000000000000"	"Furthermore, exploring alternative ways, for example doing the interview through phone calls, to conduct post distribution monitoring during the COVID-19 pandemic is necessary in the future operations."	1	"test"
"140"	"00001000000000000000000000000000000000000"	"Gap in the implementation of the gender-based violence prevention strategy established in the country"	1	"test"
"141"	"00001000000000000100000000000000000000000"	"Generally, residents of Itbayat traditionally constructed   their homes for typhoons/cyclones because they used  heavy stone masonry walls that have performed well  during strong winds. Also, the builders in Itbayat had  adopted good construction practices for constructing   their roofs using lessons learned from previous strong   typhoons. However, the same unreinforced limestone   masonry houses that have strong resistance to   typhoons also have weak resistance to strong   earthquakes. Almost all houses close to the   earthquake epicentre that were constructed of   unreinforced limestone masonry totally collapsed,   while those in barangays further from the epicentre   remained standing but suffered major cracks in the   walls that have made the houses unsafe to occupy.  Technical assistance is recommended to help the   communities rebuild homes that are earthquake and   typhoon resistant."	1	"test"
"142"	"00000000000000000000000000000001000000000"	"Given the URCS financial system, it is needed that there is a dedicated finance controller in the response"	1	"test"
"143"	"00000000000000000000000001000000000000000"	"Good and timely support from the Shelter Cluster in providing the data and analysis on time although there is delay in shipments."	1	"test"
"144"	"00000100000000000000000000000000000000000"	"Government restrictions following COVID-19 outbreak also delayed activities and stranded all 3 deployed surge personnel in DRC for several months, leading to an over expenditure of International Staff budget line."	1	"test"
"145"	"00000000000000000000000000000000000000100"	"Gumboots and raincoats issued to volunteers were different sizes."	1	"test"
"146"	"00000000000001000000000000000000000000000"	"Have appropriately sized packaging (boxes) for the kits to optimize space during storage and transport."	1	"test"
"147"	"00000000000000000000000000000000000010000"	"Having support vehicles from Headquarters improved access to communities. Communities with no access for vehicles were reached by mule, horse or on foot."	1	"test"
"148"	"00000000000000100000000000000000000000000"	"Health IEC materials were not available at Branch level during the response"	1	"test"
"149"	"00000000010000000000000000000000000000000"	"Heavy and continuous rains posed a challenge to the activity implementation. This was tackled by providing the field team with protective gears such as gumboots and raincoats among others, which enabled the field team to successfully achieve the set goal."	1	"test"
"150"	"00000000010000000000000000000000000000000"	"Heavy rains restricted road access due to unfavourable road conditions."	1	"test"
