"","modified_excerpt","dref_dimension"
"11","A delay was encountered in conducting the security assessment, mostly due to the difficulty in finding a
suitable candidate ready for immediate deployment","Operations Support"
"12","A DREF operation is not a proper tool to eradicate Hepatitis E epidemic virus disease as the disease lasts longer than the timeframe of the DREF operation 3 months on average). Although the number of cases decreased according to the UNOCHA report of 24 October 2017, the needs for awareness sessions, however, remained high because the Hepatitis E virus is a new disease in the area, not known neither by the population not the Niger Health personnel.","Operational Capacity"
"13","A few staff who are aware of CEA have not had the practical experience to collect feedback prior the operation. Thus, PMI had a briefing session with CEA focal point at PMI NHQ and a support from IFRC Sr. Officer.","Operational Capacity"
"14","A fixed amount for beneficiary travel to FSP outlets or easy paisa shops, should be included in the beneficiary cash payment amount, with an understanding with the FSP.","Operational Capacity"
"15","A follow up recovery plan post emergency response operation should be made part of the EPoA","Analysis and Planning"
"16","A fourth element that played a role in the delays was the security situation, with armed groups from Nigeria entering Niger and harming refugees and host communities, which obliged the volunteers to be on standby on several occasions.","Operations Support"
"17","A good knowledge of the periodicity of the emergence of epidemics diseases in the community such as Meningitis, Rift Valley Fever, Hepatitis E, Cholera etc…","Operational Capacity"
"18","A good knowledge of the periodicity of the occurrence of floods and a cartography of the potential flooding zones","Analysis and Planning"
"19","A good orientation and continues engagement of all the parties; parents, students and teachers from the inception of the programme will enable better and easy programming","Policy Strategy and Standards"
"20","A Hotline and Emergency Operation Centre (EOC) are needed to coordinate and manage the emergency response","Operational Capacity"
"21","A lack of available vehicles from FRCS along with delays in being able to gain approval to hire rental vehicles caused delays in distribution activities.","Operations Support"
"22","A lack of awareness and understanding by community members on the concept of child protection and child abuse. The law has little impact when people follow “kastom” (custom) practices.","Policy Strategy and Standards"
"23","A lesson was learnt that training should be conducted targeting the Red Cross staff and volunteers to raise their awareness on the importance of environmental protection in emergency operations and measures to introduce green response in future emergency operations.","Operations Support"
"24","A Lessons Learnt workshop was planned, but not held due to the few activities implemented and unavailability of NS senior management engaged in other activities. However, discussions between the IFRC and the NS on main challenges were undertaken in several occasions and focused especially on procurement procedures","Operations Support"
"25","A main challenge in the field is ensuring representative field teams are deployed to communities. In Penama, the majority of existing volunteers were male and whilst some effort was made to recruit females to the team, the branch was unable to deploy well balanced teams which may have affected their ability to engage with communities.","Operations Support"
"26","A major challenge under this sector was the proliferation of other humanitarian actors planning on doing similar things and raising the danger of duplication of humanitarian efforts.","Coordination"
"27","A multi-sectoral contingency plan must be developed to allow the NS to further perform in disaster 
preparedness and response operations","Analysis and Planning"
"28","A national intervention team (NIT) network must be structured to support any operation in the national territory, for any type of event and its management.","Operations Support, Analysis and Planning"
"29","A need emerged for further dissemination and sensitisation on the Sphere standards, as well as for an agreement on standard operating procedures with state branches before an operation.","Analysis and Planning"
"30","A new household/community health assessment form should be developed and utilized in future operations as
at the moment it’s focused on just health facilities.","Operational Capacity"
"31","A number of experienced volunteers were not involved in the response operation. This was due to them not being contacted by TRCS, and/or due to their contact information not being up to date. This meant that volunteers with little or no experience were required to do most of the work.","Operations Support"
"32","A partnership with the Belgian Red Cross was built to be able to deploy a Surge Operations coordinator and could be built upon in order to expand the French speaking base of personnel to deploy in support to the Haitian Red Cross.","Coordination"
"33","A Post-Distribution Monitoring of the relief operation should be taken up to understand what people think about the effectiveness, efficiency and impact of the Red Cross Relief Operation. The feedback can be integrated into future operations","Operations Support"
"34","A post distribution monitoring for NFIs (including Health items) was conducted, in which 99 per cent were satisfied with the items they received, including the mosquito nets and found them useful. The good practice for the chapter needs to prioritize building a strong partnership with hospitals and other private medical agencies through good communication to involve them with the Red Cross activities. This partnership gives an opportunity for the chapter to be able to mobilize manpower for mobile health clinics and other health activities. To continue to support chapters with capacity development and manpower in health. To ensure assessment teams obtain complete data sets from the community to plan the interventions.","Coordination"
"35","A post distribution monitoring for NFIs (including WASH items) was conducted, in which 99 per cent were satisfied with the items they received, including the hygiene kits and jerry cans and found them to be useful.","Operational Capacity"
"36","A post distribution monitoring for NFIs (including WASH) was conducted, in which 98 per cent were satisfied with the items they received, including the hygiene kits and jerry cans. There were 99 per cent who reported that NFI received was useful.","Policy Strategy and Standards"
"37","A post distribution monitoring survey was conducted for cash assistance: - 25 per cent noticed the prices of essential goods increased after the cash transfer, of which, eight per cent thought that the reason for the increase was the cash transfer programme of PRC. In terms of cash expenditure, 99 per cent found the money useful to cover their most important family needs. - When asked their opinion of the Red Cross emergency cash relief program, 87 per cent reported that they found the whole program good and helpful and it made them happy and thankful. Seven per cent did not have any comment, two per cent was satisfied another two per cent had agreed on the cash assistance they have received while 1% found the distribution process as good. - In terms of transparency to the amount that the community is going to receive, 63 per cent reported that they were informed. - There were seven per cent who also believed that the cash assistance created tension among beneficiary and nonbeneficiary. When asked for the reason, respondents said that it was because some people thought that they also deserved to be a beneficiary. Based on these results, PRC will further intensify its information dissemination through an established CEA mechanism on providing relevant information to the beneficiaries and non-beneficiaries on selection criteria and beneficiary prioritization. - Cash versus NFI: All the respondents for cash and NFI survey were asked if the assistance were to be redone, which would they prefer to receive, cash or NFI’s. 75% said that they would prefer cash rather an NFI. PRC will continue to promote the use of cash and continue to build capacity at national and chapter level. PRC will also continue to review the timeliness of distributions and monitor the appropriate value of cash grants for each context.","Operational Capacity"
"38","A post distribution monitoring survey was conducted where household items were distributed","Operations Support"
"39","A post distribution monitoring survey was conducted where household items were distributed. 

 66 per cent of the beneficiaries said that they waited for less than an hour to get the items, 18 per cent around two hours and 12 per cent for over two hours. When asked on their opinion about the Red Cross emergency relief programme, 80 per cent reported that they found the they found the programme as good, 10 per cent have no comment about it, 7 per cent were satisfied, and 3 per cent advised PRC to continue helping people affected by disaster. In terms of the timing of distribution, 83 per cent reported that they were informed. In terms of the type of materials to be received, 42 per cent reported that they were informed. There were 16 per cent of the respondents who have reported that they do not understand how they were selected to benefit from the programme. Based on these responses, PRC will further intensify its information dissemination through an established CEA mechanism on providing relevant information to the beneficiaries in terms of its targeting and distribution.","Operational Capacity"
"40","A post distribution monitoring was conducted for the unconditional/ multipurpose cash grants. The monitoring showed that 45% used the cash grant for food, 11% for medical expenses, 7% for school related expenses and 6% for debt payment","Operational Capacity"
"41","A post distribution survey that was planned to be undertaken through ODK, did not take place due to technical gaps and readiness of the system","Operational Capacity"
"42","A proper first aid training and its refresher for volunteers should be conducted regularly; it includes sufficient practical session which is locally adapted and utilized available resources.","Analysis and Planning, Operations Support"
"43","A proper orientation on overall DREF operation plan and purpose is mandatory","Operational Capacity"
"44","A regular First Aid refresher training for the emergency response team would ensure knowledge, skills and confidence are maintained.","Operations Support"
"45","A security incident also occurred where the RDRT member and PNGRCS volunteers were physically harmed by bandits. No one was seriously injured, but the incident forced our team to put on hold the operation and review the final activities.","Operations Support"
"46","A small-scale operation for a bigger emergency, assisting 15,000 people out of 5 million affected population (approximately). It adds the challenge of managing communities that have not been selected for the aid.","Operational Capacity"
"47","A strong volunteer network at branches and community level will be an asset for VRCS. In addition, a systematic volunteer management including capacity building, care for volunteer and reward system should be maintained to ensure availability of well-trained volunteers especially for disaster response.","Operational Capacity"
"48","A temporary office should be established at field level during the DREF project for smooth day to day operations and movement of staff and volunteers","Analysis and Planning"
"49","A vehicle accident occurred while mobilizing the CTP team. A, the road was in poor condition, the team suffered minor injuries but the BRC vehicle suffered significant damage, which was repaired. Due to this, the BRC's activities had to be rescheduled","Operations Support"
"50","A visible challenge was the development of credentials with the same format throughout the National Society.","Operations Support"
"51","Absence of a fulltime project staff at national level, posed certain level of coordination issues, as DM department responsible for the operation found itself in a limited capacity. Moreover, assigned DREF Coordinator from URCS has resigned halfway through the response. As a mitigation, national level project manager and finance controller were hired.","Operational Capacity"
"52","Absence of a unified reference framework for such activities.","Analysis and Planning"
"53","Absence of spare stock in order to replace the stock lost or damaged during shipment and discharge.","Operational Capacity"
"54","Accelerate sharing the results of assessments and initiating an official request for support from the government.","Operational Capacity"
"55","Access to fuel for ambulances was limited, requiring the NRC to reach agreements with gas stations to purchase fuel after hours.","Analysis and Planning"
"56","Access to health for prevention and to provide information.","Operational Capacity"
"57","access, management and analysis of the information remains major challenge during the detailed assessment, developing and updating emergency plan of action.","Operational Capacity"
"58","Accessibility was hampered due to damaged infrastructure like road and bridges, which delayed the delivery of assistance.","Analysis and Planning"
"59","Accompanying NS personnel to carry out the direct call in the communities.","Policy Strategy and Standards"
"60","According to the needs identified during the emergency, it is recommended to adapt the constituent elements of the kits according to culturally accepted criteria by the population. This is particularly true for indigenous communities in situations of extreme vulnerability living in the border municipalities.","Policy Strategy and Standards"
"61","According to the operational team, the timeframe of the DREF was short (3 months) and did not allow this activity to take place. Therefore, it would have been relevant to consider in the budget a bigger number of volunteers","Operational Capacity"
"62","According to the satisfaction survey of the beneficiary families who did not use the kits, they state that they did not use them because they did not participate in the workshop at the time of delivery and it did not give them security to use it.","Operational Capacity"
"63","Achieving gender balance in volunteer teams was an ongoing challenge due to the perception that females cannot tolerate the tough physical conditions of the emergency response.","Policy Strategy and Standards"
"64","Achieving higher community engagement and responsibility in caring for the water treatment plant","Policy Strategy and Standards"
"65","Activate the operational-strategic structure established, which has legal support to analyse legal documents linked to mobilizations.","Policy Strategy and Standards"
"66","Active involvement of NS NDRT members is one of the strengths in ensuring that activities are implemented in time","Operations Support"
"67","Activities came to a halt due to Government imposed lockdown/movement restriction because of the COVID pandemic outbreak. The activities were resumed once the Government moved to partial lock down and announced SoPs to be followed by everyone.","Analysis and Planning"
"68","Activity and expenditure reports to be compiled and faxed according to an agreed timeframe; and the originals will follow by post.","Operations Support"
"69","Adapt the composition of the feeding kits according to nutritional needs and culturally appropriate elements to the affected population. During the intervention, the need to adapt the food kits to the specific diets of the migrant population was identified, as well as identifying the need to include a work strategy at a nutritional level, particularly for children traveling along the border with risks of malnutrition.","Operational Capacity"
"70","Adaptation of gender awareness activities to the requirements of the COVID-19 context.","Policy Strategy and Standards, Analysis and Planning"
"71","Adaptation of the Open Data Kit tool to nomadic communities.","Operational Capacity"
"72","Adaptation of the volunteers to the lack of knowledge of the process and requirements the operation.","Operations Support"
"73","Adaptation to virtual discussion and communication spaces due to the COVID-19 context.","Analysis and Planning"
"74","Additional volunteers were mobilized to support the organization of additional public awareness sessions. This was due to increased interest of school teachers, parents and volunteers who wanted to learn about epidemic control and organize in the public awareness campaigns.","Operational Capacity"
"75","Additional work needs to be done with the HRCS regional committees’ leadership regarding the SPHERE standards for emergency response.","Policy Strategy and Standards"
"76","Additionally, basic and important resources such as IEC materials, funding for emergency volunteers’ mobilization, communication equipment and others should be locally available for times of need.","Operational Capacity"
"77","Additionally, further development is needed to ensure the implementation of the self-care approach with the intervention teams, which must be in excellent condition to carry out their work.","Operations Support"
"78","Addressing issues such as HIV/AIDS among the migrant population was difficult since special efforts were required to avoid stigmatization and cause people living with HIV to avoid participation. However, work was carried out through different methodologies and a prevention focus.","Operational Capacity"
"79","Adequate involvement of the refugees as hygiene promoters would enhance participation of community members
in hygiene activities. (WASH)","Coordination"
"80","Adjusting activity dates to communities' availability; therefore, most activities took place on weekends and holidays when families were on break from work.","Policy Strategy and Standards"
"81","Adopting the use of effective mobile data tools for beneficiary registration is effective and fast and reduces time taken to have clear and clean data of beneficiaries of a response.","Operational Capacity"
"82","Advocacy with government and WHO officials ensures the Red Cross mission is well understood by other stakeholders.","Coordination"
"83","Advocating for the displaced people should be done continuously for longer-term purpose. In this respect, BDRCS and IFRC Bangladesh country office are jointly preparing the proposal to address the long-term needs of the displaced population.","Analysis and Planning, Policy Strategy and Standards"
"84","Affected communities isolated and difficult access","Analysis and Planning"
"85","Affected communities needed immediate recovery emergency assistance such as support of school items
to children, livelihood, food and family conflict resolutions. (Health)","Operational Capacity"
"86","Affected locations were across the country, covering from the east to the west borders and during the summer, roads had become even more slippery and muddy and the transportation companies wouldn’t accept our offer to the transfer of the hygiene kit items, but the logistics’ team kept persistently contacting the companies and finally found a company which would do the delivery.","Operations Support"
"87","After having different meetings with concerned stakeholders and conducted detailed assessment, it was realized that under Bangladesh’s law, people displaced due to river erosion have no clear right to compensation for damaged or lost property. However, they do have a right to access agricultural khas land for their rehabilitation.","Analysis and Planning"
"88","After having visited several households in the region of Maradi, the Red Cross volunteers noticed that the population were living with animals including small ruminants (goats, sheep) and poultry in the same compound, which may pose sanitary risks. The Niger Red Cross has therefore organised a competition of environmental cleaning which provide prizes to the neighbourhoods where all the compounds are well cleaned. This activity was appreciated by the council, the administrative authorities and the population. Its helps to live in a good environment.","Policy Strategy and Standards"
"89","After seeing the impact of the damages caused by the floods in Niger in 2017, the NS realized that it is important to carry out disaster prevention and risk reduction actions in order to have fewer victims in future floods.","Analysis and Planning"
"90","After the end of March, CRCS access to the Centre was inadequate due to fencing (see above “Risk Analysis”).","Analysis and Planning, Policy Strategy and Standards"
"91","After the training, all the volunteers from 30 mid-level branches have developed public awareness session organization plan, which allowed to meet the target within a short period of time.","Operational Capacity"
"92","Agreement on common standards for emergency shelter and non-food item assistance packages;","Coordination, Analysis and Planning"
"93","Agreement with state branches regarding surge deployments was a challenge due to limited understanding in the branches on international disaster response mechanisms, including DREF.","Operational Capacity"
"94","All forms, surveys and IEC materials must be translated and contextualised, ready for a response as there may not be time after a disaster.","Operational Capacity"
"95","All key stakeholders should be involved during training and simulation prior to election","Operational Capacity"
"96","All of the volunteers were provided with PPE to carry out their plans for outreach to the communities.","Operations Support"
"97","All responders (HQ staffs, Branch staffs & volunteers) need to have some knowledge in PGI in order to improve how they report on this issue.","Operations Support"
"98","All the materials arrived in timely manner, however, some branches faced challenges to get materials to the
respective divisions.","Operations Support"
"99","All the staff in ERCS HQ was occupied by emergency response activities and it was not possible to facilitate
the training for volunteers on ES/NFI distribution. To save the situation, the BDRT trained volunteers were
deployed to assist the operation.  (Shelter)","Analysis and Planning"
"100","All vessels were booked out by other responding organization.","Operations Support"
"101","Along with more dedicated training, also conduct simulation exercises in order to train and improve capacity and improve standards. In addition, practice establishment of emergency operation centres and train reporting and information sharing.","Operational Capacity, Operations Support"
"102","Also finance processes during response operations need to be simplified, along with finance personnel being part of each EOC.","Operations Support"
"103","Also upon these training, each VRCS branch and Provincial Committee provided with Safety equipment, standard Emergency tool Kit","Operations Support"
"104","Also, as part of preparedness, IRCS will develop framework agreements with pre-vetted suppliers of essential relief items.","Analysis and Planning"
"105","Also, the insufficient number of protective equipment for volunteers in these areas did not allow some volunteers to take the canoes to reach other localities.","Operations Support, Operational Capacity"
"106","Also, the volunteers did not clearly register the first aid cases they attended. They have reported the vehicle accident, but the other cases were not systematically registered in the activity books.","Operations Support"
"107","Alter cash transfer value based on HH number: Cash transfer values for a HH per month were based on recommendations by the Cash and Markets Quarterly Dashboard. However, the value was based on a HH number of 6 and many of the targeted HH were said to be in excess of 10 and reported the amount provided did not meet their food and other basic needs. It is therefore essential that for future operations the cash transfer value is amended based on HH number.","Operational Capacity"
"108","Alternatively, volunteers and staff members can be trained on such integrated approaches. During the lessons’ learned workshop/meeting, the IRCS operations team and the branch team agreed to consider an integrated approach to train volunteers and staff members in the areas of CEA and PGI. Nevertheless, it was noted and agreed that the IRCS does not have a dedicated CEA and PGI personnel and this will be a priority.","Operations Support"
"109","Although a well thought out post distribution survey was planned through the ODK tool, it could not be implemented due to internal communication challenges and lack of appropriate capacity within state branches. However, branches preferred an informal survey, gathering a general impression of response intervention by IRCS, to which everyone responded positively. Post action surveys need improvement and require additional capacity building for future operations. This includes the issues of inclusion. Although staff and volunteers are aware of the issues of inclusion, and the overall relief management of the operation took into consideration inclusion, the main challenge was with documenting the whole process. This links with the overall challenges mentioned in the documentation and reporting front.","Coordination, Policy Strategy and Standards, Operations Support"
"110","Although beneficiary identification and selection for NFI distribution is conducted by the local administration,
there is need to always conduct mass sensitization of not only intended beneficiaries but non-beneficiaries as
well on the selection criteria. This will not only increase transparency and downward accountability but also
ensures safety and security of staff and volunteers. Strengthening local administration capacity on community
engagement will also ensure two-way communication with communities is conducted from the onset of a disaster
response. (Shelter)","Policy Strategy and Standards"
"111","Although contact had been lost with one household representative, which would increase the number of people reached to 103, said person was finally contacted and received the cash in one single transfer.","Operational Capacity"
"112","Although the disease takes long to be eradicated, the Niger Red Cross Society and other humanitarian actors have contributed in reducing the number of cases according to the UNOCHA report of 24 October 2017.","Operations Support"
"113","Although the MoU was signed between the National Society and IFRC, the DREF funds were not transferred on time due to cumbersome financial procedures. This caused delay in the implementation of activities and thereby impacted on the overall DREF timeframe and planning.","Operational Capacity"
"114","Although the MoU was signed between the National Society and IFRC, the DREF funds were not transferred
on time due to cumbersome financial procedures. This caused delay in the implementation of activities and
thereby impacted on the overall DREF timeframe and planning.","Operational Capacity"
"115","Although the trainings were planned to take place in only one location, they took place in each site affected by the strong winds (Mbaïki, Ndolobo, Lambi, Bossembélé and Ndjoh). The reason is the distance of at least 50 Km between each site. As transport and accommodation were not provided for volunteers, the NS and the RDRT agreed to move towards the volunteers to implement the training. As a result, the number of training days was reviewed and extended for trainers without increasing the allowances because the budget did not foresee it.","Analysis and Planning, Operational Capacity"
"116","Although the trainings were planned to take place in only one place according to the DREF operation, they took place in each affected area (Mbaïki, Ndolobo, Lambi, Bossembélé and Ndjoh). The reason is the distance of at least 50 Km between each site. As transport and accommodation are not provided for volunteers, the national society and the RDRT have agreed to move towards the volunteers to implement the training. As a result, the number of training days was reviewed and extended for trainers without increasing the allowances because the budget did not foresee it.","Analysis and Planning"
"117","Although volunteers received inductions and sample reports included data collection and analysis in this regard, there were no procedures in place to collect it.","Operational Capacity"
"118","Although VRCS working through cluster systems and all cluster representatives were present in area councils of affected areas, VRCS should establish a proper record system for MHPSS related referral cases.","Operational Capacity"
"119","Always do a counter-assessment of the disaster before publishing DREF request so as to help the maximum number of families in need.","Operational Capacity"
"120","Always do a counter assessment of the disaster before requesting for DREF funds","Operational Capacity"
"121","Always involve the population concerned and the authorities during the assessment phases","Operational Capacity"
"122","Always involve the population concerned and the authorities during the assessment phases.","Policy Strategy and Standards"
"123","Always make a counter-assessment of the disaster before publishing DREF's request to help the maximum number of families in need","Operational Capacity"
"124","Always make sure before moving the packages that the carrier has all its documents and that all administrative documents are in line with the requirements of the authorities","Operations Support"
"125","Among the 75 volunteers convened and expected for the training, 70 were selected. The five (05) others being too old to resist the rigor of the implementation work;","Operations Support"
"126","Among the challenges faced during mass evacuation process was to reach out to the hard reach areas where the road is narrow as not suitable for normal size vehicle to go to.","Analysis and Planning"
"127","Amount paid to volunteers for the service provided was also small in amount (5.00USD) per day. This was as per the LNRCS volunteers’ payment policy that classifies this as normal volunteer service. It was not however normal volunteer service as the Election operation was associated with physical and security risks to staff and volunteers which cannot be seen as ordinary service","Operations Support"
"128","An agreement with local suppliers to ensure appropriate stock is available at reasonable prices could assist in the local procurement process.","Operations Support"
"129","An incident affected workshop attendance. A young man was killed in a motorcycle accident the day before the workshop. As these are small communities, the youth was related to many of those who were supposed to attend the workshop, so they did not attend. Lessons Learned It is necessary to improve the National Society's capacity to manage information in order to support daily activities.","Operations Support"
"130","an option that international procurement may be more efficient timewise and in the quality of goods","Operations Support"
"131","Another challenge faced during the home visits was that no adults were in their houses, since many had returned to work. Which meant that fewer people were reached because a security protocol prevented NRC personnel from entering dwellings where only children were present.","Operational Capacity"
"132","Another challenge relates to the increased number of volunteers, which increased the volunteer costs. Moreover,
SRCS was faced with issues of unclear guidelines on volunteer expenses related to the cover of transportation, food,
allowances, and communication which fostered some frustrations.  (WASH)","Operations Support"
"133","Another challenge that was highlighted during the lessons learned workshop was that the branch volunteers were not very experienced with shelter activities as this was new.","Operations Support"
"134","Another challenge was the availability of transport as external rental agencies could not guarantee that vehicles would be available when security forces gave the green light.","Operational Capacity"
"135","Another challenge was the lack of supported PSS first aid facilities.","Operational Capacity"
"136","Another need identified is the establishment of a toll-free line to receive direct calls and references relating to GESI matters.","Policy Strategy and Standards"
"137","Anticipate the kind of health issues that may arise in these situations (respiratory, etc.) and budget for medicines to cover such needs.","Analysis and Planning"
"138","Application of templates, tools and security criteria in all activities, as well as making the branches not participating in the operation aware of these products and to implementing them took time and effort.","Operations Support"
"139","Appointing of a core team to coordinate activities and have the overall monitoring of their implementation.","Analysis and Planning"
"140","APRO security coordinator visited Sri Lanka and supported SLRCS and IFRC in ensuring improved security for volunteers and staff.","Operational Capacity, Operations Support"
"141","Aqua tabs distribution for household water treatment were insufficient as more communities became aware of its usage during the house to house visits.","Policy Strategy and Standards"
"142","Aquatabs is a chemical, therefore, it is always important to explain its usage to the beneficiaries to avoid to over use it.","Policy Strategy and Standards"
"143","ARC branches would need their own vehicles to transport relief items from their stocks to the distribution points in shorter time particularly to the remote areas, while this was done in collaboration with authorities.","Operational Capacity"
"144","ARC initially planned to support the families with food, household items and tents. However, the response in the first phase revealed that the need for tents was lower than estimated initially. The families who lost their shelter were hosted by relatives or the community supported them to purchase tents.","Analysis and Planning"
"145","ARCS branch level teams were trained on assessment tools, how to conduct quality assessment and data collection. After the capacity building of branch staff and volunteers they were engagedto carry out the assessments.","Operational Capacity"
"146","ARCS national headquarter and local branch staff were involved to ensure effective and timely implementation of operation.","Coordination"
"147","ARCS teams in the field also faced challenges at the early stages of response in complex scenario without collaboration with the humanitarian actors and local level authorities.","Coordination"
"148","Arranging community meetings through town officers with the communities was largely unsuccessful as town officers were either not interested or determined that their communities were too busy to attend any meetings.","Coordination"
"149","Articulation with local health actors for joint medical attention actions.","Coordination"
"150","As 2 new districts were added to the National plan (Nyabihu and Nyanza), there is need to train additional SDB
and contact tracing teams from those districts. (Health)","Operational Capacity"
"151","As a result of the exit survey, it is worthwhile to explore how information dissemination can be further improved
to better inform the targeted beneficiaries and how accessibility and arrangements of distribution points can be
more responsive to the people’s needs and constraints.","Policy Strategy and Standards"
"152","As a result, volunteers had to distribute the food parcels on foot, which posed logical challenges in terms of planning and execution of distributions.","Operational Capacity"
"153","As described above, logistic challenges were experienced during procurement. Local suppliers did not typically have
the capacity to comply with the closed envelope processes, and their stocks were also low in certain cases.
Generally, summer is the high season of the (re)construction material market, which was also a hindering factor
during the procurement process.","Operations Support"
"154","As drought is occurring more frequently due to climate change and it has become the major disaster pattern in DPRK, it is crucial for the National Society to reach the optimum level of mobile water pumps in stock in order to provide satisfactory service in case of drought.","Operations Support"
"155","As drought is occurring more frequently due to climate change and it has become the major disaster pattern in DPRK, it is crucial for the National Society to reach the optimum level of preparedness on different types of emergencies and maintain that capacity to respond.","Analysis and Planning"
"156","As explained above, the planned distribution of mosquito nets was delayed because they were dispatched from headquarters to the branch later than scheduled. This however did not delay the overall implementation plan and the operation was completed on time","Operations Support"
"157","As GRCS is working mainly on the Natural Disaster response, there was lack of knowledge and experience during involvement of the volunteers in the demonstrations, taking into considerations their safety and contribution. Accordingly, there was lack of previous experience working with the local responders, as Police, Ambulances and etc. In case the branch volunteers needed to be involved during the demonstrations, the NS had no sufficient capacity to transport big number of volunteers to the capital city. GRCS provided all the information to the Government regarding the location and involvement of volunteers during the demonstrations and it was agreed that no special security or safety would be provided for the volunteers from their side.","Coordination, Operational Capacity, Operations Support, Policy Strategy and Standards"
"158","As IFRC did not receive a list of volunteers from the National Society, the volunteers could not be covered under 
Global Insurance during the implementation timeframe.","Operations Support"
"159","As indicated under WASH above, the main challenge was to convince the beneficiaries that a detailed needs assessment was being carried out to better plan a more comprehensive response to their situation.","Policy Strategy and Standards"
"160","As leading organization in disaster response, developing more capacity of emergency WASH in disaster-prone provinces as part preparedness would be an asset for future operations.","Operational Capacity"
"161","As mentioned above the outbreak of COVID-19 hampered the implementation of the planned activities of the DREF operation. Due to the travel restrictions it became impossible to conduct visits and workshops that were planned by the IFRC ROE. However, remote support was provided and will continue being provided in the coming months. The Lessons Learnt and Planning workshop was planned to be a three-day workshop which will need to be shortened on the online platform. Although the methodology will be adapted to the circumstances and carefully tailored, the level of information and plan for the continuation are expected to be more limited than would be possible to gain through a longer timeframe with more personal interactions.","Analysis and Planning"
"162","As mentioned above, the volunteer management caused some challenges to the operation. Therefore, the SRCS,
and more specifically the Volunteer Management Department, will work on improving volunteer management.  (WASH)","Operations Support"
"163","As mentioned earlier, 2,244 relief kits were distributed by LRC with funding support from another donor. This procurement of relief kits was conducted by LRC using their own procurement processes. Although this relief distribution was supposed to be covered by this DREF, it was finally covered by another source of funding and hence the budget for this component amounting to CHF 90,564, was unspent","Operations Support, Operational Capacity"
"164","As more than 85 per cent respondents during the PDM were satisfied with the EMTS service of Bangladesh post office, it can be replicated in future emergency operation.","Operations Support"
"165","As MRCS had little experience in epidemic control, RDRT member specialized in health was requested from IFRC to support the organization of the training for volunteers and development of the contents of the IEC materials.","Operational Capacity"
"166","As part of preparedness there is a requirement for strengthening Kerala state branch in terms of capacity, training
workshops and cross sharing of lesson with RCRC and other movement partners","Analysis and Planning"
"167","As per the Cash Standard Operating Procedures (SoPs), the cash grant should reach the target beneficiaries within 2-3 weeks of the disaster, but in this case it took longer owing to the delay from NS management.","Analysis and Planning"
"168","As per the findings of the lessons learned workshop, several challenges with proposed recommendations have been highlighted to be facilitated with IRCS with the support of the IFRC Iraq country office to mitigate future delays in procurement processes, and flow of approvals in emergency contexts.","Operations Support"
"169","As stated above, seventy-five volunteers were trained but 70 were selected. The age of the other five who are above 65 years old and their state of health does not allow them to be present on a daily basis.","Operations Support"
